country_slug,country_name,region,course_name,course_slug,hotel,legacy_php,legacy_bodies,hero_hash,hero_ext,status
wales,Wales,Newport,Celtic Manor Golf Club,celtic-manor-golf-club,Celtic Manor Resort,154,9,f4eea240ee1206ae9bc1a064ca0bd4f8,jpg,matched
wales,Wales,Swansea,Royal Porthcawl Golf Club,royal-porthcawl-golf-club,Mercure Swansea Hotel,,0,,,no-detail
spain,Spain,Marbella,Los Naranjos Golf Club,los-naranjos-golf-club,Gran Hotel Guadalpin Banus,106,7,cf339eb1ed988a606370c765a0336394,jpg,matched
spain,Spain,Marbella,Los Monteros Golf,los-monteros-golf,Los Monteros Spa & Golf Resort,105,5,5a7fc58494243bb2a4fc79715dc39f26,jpg,matched
spain,Spain,Madrid,Real Club La Herreria,real-club-la-herreria,Exe Victoria Palace,104,3,0743d1011cff7b1a13b3638b4925e729,jpg,matched
spain,Spain,Marbella,Rio Real Golf & Hotel,rio-real-golf-and-hotel,Rio Real Hotel,107,6,0743d1011cff7b1a13b3638b4925e729,jpg,matched
spain,Spain,Barcelona,Sitges Terramar Golf Club,sitges-terramar-golf-club,ME Sitges Terramar,,0,,,no-detail
spain,Spain,Barcelona,Llavaneras Golf Club,llavaneras-golf-club,Hotel Atenea Port,,0,,,no-detail
spain,Spain,Valencia,Campo de Golf El Saler,campo-de-golf-el-saler,Parador de El Saler,,0,,,no-detail
portugal,Portugal,Algarve,Vale do Lobo Golf Club,vale-do-lobo-golf-club,Vale do Lobo Resort,111,5,6d130d2650071ad98e49d8c724b0d45c,jpg,matched
portugal,Portugal,Troia,Troia Golf,troia-golf,Troia Resort,112,4,05da8cb191173885217816d0beab7748,png,matched
